Trial	Angle	Stimulus	Response	RTmsec	Accuracy	RTsec
51	60	Mirror	Mirror	1734	1	1.73
52	0	Mirror	Mirror	1516	1	1.52
53	40	Mirror	Mirror	1219	1	1.22
54	140	Mirror	Mirror	1735	1	1.74
55	120	Mirror	Mirror	1328	1	1.33
56	40	Mirror	Mirror	1531	1	1.53
57	140	Mirror	Mirror	1937	1	1.94
58	160	Mirror	Mirror	1125	1	1.12
59	120	Same--	Same--	1641	1	1.64
60	120	Mirror	Mirror	1125	1	1.12
61	80	Same--	Mirror	1625	0	1.62
62	140	Same--	Mirror	1844	0	1.84
63	20	Same--	Mirror	1422	0	1.42
64	120	Same--	Same--	3859	1	3.86
65	140	Mirror	Same--	1734	0	1.73
66	20	Mirror	Mirror	1829	1	1.83
67	100	Same--	Same--	1234	1	1.23
68	20	Same--	Same--	1234	1	1.23
69	60	Mirror	Mirror	1625	1	1.62
70	160	Mirror	Mirror	1235	1	1.24
71	100	Same--	Same--	1734	1	1.73
72	20	Same--	Same--	1125	1	1.12
73	0	Same--	Same--	1016	1	1.02
74	100	Mirror	Mirror	2859	1	2.86
75	160	Same--	Same--	2125	1	2.12
76	180	Same--	Same--	2047	1	2.05
77	140	Mirror	Mirror	1625	1	1.62
78	0	Mirror	Mirror	1531	1	1.53
79	100	Mirror	Mirror	1531	1	1.53
80	40	Mirror	Mirror	1938	1	1.94
81	120	Same--	Same--	1125	1	1.12
82	160	Mirror	Mirror	2141	1	2.14
83	40	Mirror	Same--	1640	0	1.64
84	100	Mirror	Mirror	2641	1	2.64
85	0	Same--	Same--	1828	1	1.83
86	140	Same--	Mirror	1437	0	1.44
87	20	Same--	Same--	1032	1	1.03
88	140	Mirror	Mirror	1531	1	1.53
89	80	Mirror	Mirror	1328	1	1.33
90	80	Mirror	Mirror	4125	1	4.12
91	40	Mirror	Mirror	1875	1	1.88
92	20	Mirror	Mirror	1719	1	1.72
93	160	Same--	Same--	1719	1	1.72
94	180	Mirror	Mirror	2640	1	2.64
95	140	Mirror	Mirror	1735	1	1.74
96	180	Same--	Same--	1625	1	1.62
97	120	Mirror	Mirror	2750	1	2.75
98	40	Same--	Same--	1828	1	1.83
99	0	Same--	Same--	734	1	0.73
100	20	Same--	Same--	1125	1	1.12
101	140	Same--	Same--	2532	1	2.53
102	0	Same--	Same--	1124	1	1.12
103	180	Mirror	Mirror	1328	1	1.33
104	180	Same--	Mirror	1422	0	1.42
105	160	Same--	Same--	2750	1	2.75
106	160	Mirror	Mirror	1735	1	1.74
107	160	Mirror	Mirror	1828	1	1.83
108	60	Mirror	Mirror	1640	1	1.64
109	80	Mirror	Mirror	2641	1	2.64
110	120	Same--	Same--	2031	1	2.03
111	140	Same--	Same--	1531	1	1.53
112	60	Mirror	Mirror	3266	1	3.27
113	20	Same--	Same--	1328	1	1.33
114	100	Mirror	Mirror	2031	1	2.03
115	60	Same--	Same--	1625	1	1.62
116	160	Same--	Mirror	1516	0	1.52
117	40	Mirror	Mirror	1640	1	1.64
118	100	Same--	Same--	2235	1	2.23
119	80	Mirror	Mirror	2047	1	2.05
120	20	Same--	Same--	1125	1	1.12
121	120	Mirror	Mirror	1828	1	1.83
122	0	Mirror	Mirror	1531	1	1.53
123	20	Mirror	Mirror	2047	1	2.05
124	160	Mirror	Mirror	2031	1	2.03
125	40	Same--	Same--	1734	1	1.73
126	100	Same--	Same--	1329	1	1.33
127	140	Same--	Same--	2750	1	2.75
128	40	Same--	Same--	1328	1	1.33
129	60	Same--	Same--	2031	1	2.03
130	120	Mirror	Mirror	1437	1	1.44
131	120	Same--	Same--	1735	1	1.74
132	160	Same--	Same--	1422	1	1.42
133	100	Mirror	Mirror	1437	1	1.44
134	80	Mirror	Mirror	1219	1	1.22
135	120	Mirror	Mirror	1328	1	1.33
136	20	Same--	Same--	1125	1	1.12
137	80	Mirror	Mirror	1438	1	1.44
138	160	Same--	Mirror	1234	0	1.23
139	180	Same--	Mirror	2031	0	2.03
140	60	Same--	Same--	1328	1	1.33
141	0	Same--	Same--	1235	1	1.24
142	100	Same--	Same--	1422	1	1.42
143	80	Mirror	Mirror	1531	1	1.53
144	120	Same--	Same--	2547	1	2.55
145	0	Mirror	Mirror	1828	1	1.83
146	100	Same--	Same--	1640	1	1.64
147	160	Mirror	Mirror	2641	1	2.64
148	100	Mirror	Mirror	1234	1	1.23
149	100	Same--	Same--	1719	1	1.72
150	20	Same--	Same--	1125	1	1.12
151	120	Mirror	Mirror	2031	1	2.03
152	40	Same--	Same--	1844	1	1.84
153	180	Same--	Mirror	2844	0	2.84
154	180	Same--	Mirror	2031	0	2.03
155	80	Same--	Same--	3906	1	3.91
156	60	Same--	Same--	1281	1	1.28
157	20	Same--	Same--	1438	1	1.44
158	40	Same--	Same--	0922	1	0.92
159	0	Same--	Same--	1422	1	1.42
160	100	Same--	Same--	1843	1	1.84
161	180	Same--	Same--	1625	1	1.62
162	140	Same--	Same--	2250	1	2.25
163	0	Mirror	Mirror	2735	1	2.73
164	60	Same--	Same--	1937	1	1.94
165	120	Mirror	Mirror	1735	1	1.74
166	180	Same--	Same--	1437	1	1.44
167	60	Same--	Same--	2641	1	2.64
168	160	Same--	Same--	2343	1	2.34
169	0	Mirror	Same--	2141	0	2.14
170	40	Same--	Same--	1219	1	1.22
171	60	Same--	Same--	2250	1	2.25
172	20	Mirror	Mirror	1625	1	1.62
173	180	Same--	Same--	1844	1	1.84
174	0	Mirror	Mirror	1828	1	1.83
175	120	Same--	Same--	1937	1	1.94
176	100	Same--	Same--	1531	1	1.53
177	80	Same--	Same--	2235	1	2.23
178	80	Mirror	Mirror	1844	1	1.84
179	0	Mirror	Same--	3453	0	3.45
180	120	Same--	Same--	4156	1	4.16
181	100	Mirror	Mirror	1437	1	1.44
182	20	Mirror	Mirror	1735	1	1.74
183	20	Mirror	Mirror	1422	1	1.42
184	40	Same--	Same--	1625	1	1.62
185	80	Mirror	Mirror	2032	1	2.03
186	60	Same--	Same--	1734	1	1.73
187	100	Same--	Same--	1437	1	1.44
188	20	Mirror	Mirror	2032	1	2.03
189	100	Mirror	Mirror	2656	1	2.66
190	0	Mirror	Mirror	3047	1	3.05
191	40	Same--	Same--	1531	1	1.53
192	80	Same--	Same--	1828	1	1.83
193	40	Same--	Same--	2250	1	2.25
194	80	Same--	Same--	1625	1	1.62
195	80	Same--	Same--	2438	1	2.44
196	80	Same--	Same--	2250	1	2.25
197	80	Same--	Same--	1218	1	1.22
198	80	Mirror	Mirror	2047	1	2.05
199	80	Same--	Same--	3985	1	3.98
200	80	Same--	Same--	2515	1	2.52
201	100	Same--	Mirror	2594	0	2.59
202	140	Mirror	Same--	3344	0	3.34
203	20	Mirror	Mirror	2047	1	2.05
204	180	Same--	Same--	3297	1	3.30
205	80	Mirror	Mirror	1890	1	1.89
206	60	Same--	Mirror	2438	0	2.44
207	180	Mirror	Mirror	2547	1	2.55
208	100	Same--	Same--	2843	1	2.84
209	140	Same--	Mirror	2954	0	2.95
210	40	Same--	Same--	2546	1	2.55
211	60	Mirror	Mirror	1625	1	1.62
212	40	Mirror	Mirror	1735	1	1.74
213	60	Same--	Same--	2953	1	2.95
214	20	Mirror	Mirror	2141	1	2.14
215	0	Same--	Same--	1531	1	1.53
216	100	Same--	Same--	2234	1	2.23
217	0	Same--	Same--	2328	1	2.33
218	20	Mirror	Mirror	1625	1	1.62
219	100	Mirror	Mirror	2343	1	2.34
220	180	Same--	Same--	3188	1	3.19
221	120	Mirror	Mirror	2515	1	2.52
222	120	Mirror	Mirror	1625	1	1.62
223	100	Mirror	Mirror	2954	1	2.95
224	180	Same--	Same--	3000	1	3.00
225	140	Same--	Same--	1781	1	1.78
226	140	Mirror	Mirror	2750	1	2.75
227	100	Mirror	Mirror	1531	1	1.53
228	80	Same--	Same--	1938	1	1.94
229	120	Same--	Same--	2437	1	2.44
230	180	Mirror	Mirror	1125	1	1.12
231	120	Same--	Mirror	1438	0	1.44
232	60	Mirror	Mirror	1328	1	1.33
233	120	Same--	Mirror	1125	0	1.12
234	40	Mirror	Mirror	2140	1	2.14
235	180	Same--	Same--	1625	1	1.62
236	180	Mirror	Mirror	1641	1	1.64
237	120	Same--	Mirror	3172	0	3.17
238	140	Mirror	Mirror	2515	1	2.52
239	160	Same--	Same--	1532	1	1.53
240	0	Mirror	Mirror	1437	1	1.44
241	100	Mirror	Same--	3047	0	3.05
242	60	Same--	Same--	1938	1	1.94
243	60	Same--	Same--	2343	1	2.34
244	180	Mirror	Mirror	1328	1	1.33
245	100	Same--	Same--	2438	1	2.44
246	120	Mirror	Mirror	1125	1	1.12
247	60	Same--	Same--	2141	1	2.14
248	40	Same--	Mirror	1531	0	1.53
249	160	Same--	Same--	2140	1	2.14
250	0	Mirror	Mirror	2547	1	2.55
251	180	Same--	Mirror	3047	0	3.05
252	100	Same--	Same--	2235	1	2.23
253	180	Same--	Same--	1437	1	1.44
254	20	Same--	Same--	1828	1	1.83
255	40	Mirror	Mirror	1438	1	1.44
256	120	Mirror	Same--	1828	0	1.83
257	20	Mirror	Mirror	1844	1	1.84
258	180	Same--	Same--	1937	1	1.94
259	40	Same--	Mirror	1531	0	1.53
260	180	Mirror	Mirror	1422	1	1.42
261	40	Same--	Same--	1328	1	1.33
262	120	Same--	Same--	1438	1	1.44
263	0	Same--	Same--	1015	1	1.01
264	160	Mirror	Mirror	1329	1	1.33
265	0	Same--	Same--	1031	1	1.03
266	0	Mirror	Mirror	1125	1	1.12
267	60	Same--	Same--	1531	1	1.53
268	40	Same--	Same--	1438	1	1.44
269	140	Mirror	Mirror	1015	1	1.01
270	20	Same--	Same--	1235	1	1.24
271	40	Mirror	Mirror	0921	1	0.92
272	180	Mirror	Mirror	1219	1	1.22
273	100	Mirror	Mirror	0938	1	0.94
274	160	Same--	Same--	1328	1	1.33
275	20	Same--	Same--	1125	1	1.12
276	0	Mirror	Mirror	1015	1	1.01
277	20	Same--	Same--	0922	1	0.92
278	180	Mirror	Mirror	1844	1	1.84
279	120	Same--	Same--	2344	1	2.34
280	80	Same--	Same--	1422	1	1.42
281	80	Mirror	Mirror	1125	1	1.12
282	100	Same--	Mirror	1328	0	1.33
283	120	Mirror	Mirror	1328	1	1.33
284	0	Same--	Same--	0937	1	0.94
285	120	Same--	Mirror	1829	0	1.83
286	20	Mirror	Same--	1421	0	1.42
287	140	Mirror	Mirror	1422	1	1.42
288	80	Mirror	Mirror	1828	1	1.83
289	140	Same--	Same--	1515	1	1.51
290	140	Same--	Mirror	1938	0	1.94
291	100	Same--	Same--	2547	1	2.55
292	100	Same--	Same--	1437	1	1.44
293	40	Same--	Same--	0922	1	0.92
294	120	Mirror	Mirror	0922	1	0.92
295	180	Same--	Same--	1422	1	1.42
296	80	Mirror	Mirror	1516	1	1.52
297	180	Mirror	Mirror	1344	1	1.34
298	40	Same--	Same--	1515	1	1.51
299	180	Same--	Mirror	1719	0	1.72
300	20	Same--	Same--	1219	1	1.22
301	0	Same--	Same--	0922	1	0.92
302	140	Mirror	Mirror	1234	1	1.23
303	140	Mirror	Mirror	1016	1	1.02
304	180	Same--	Same--	1031	1	1.03
305	60	Mirror	Mirror	0922	1	0.92
306	60	Mirror	Mirror	1125	1	1.12
307	0	Same--	Same--	0828	1	0.83
308	80	Same--	Same--	1219	1	1.22
309	80	Same--	Same--	1641	1	1.64
310	20	Same--	Same--	0922	1	0.92
311	120	Mirror	Mirror	1031	1	1.03
312	160	Same--	Same--	1718	1	1.72
313	160	Mirror	Mirror	1828	1	1.83
314	180	Mirror	Mirror	1328	1	1.33
315	20	Same--	Same--	1438	1	1.44
316	80	Same--	Same--	1719	1	1.72
317	40	Same--	Same--	1719	1	1.72
318	60	Mirror	Mirror	1234	1	1.23
319	0	Mirror	Mirror	0922	1	0.92
320	20	Mirror	Mirror	1032	1	1.03
321	20	Same--	Same--	1015	1	1.01
322	0	Mirror	Mirror	1125	1	1.12
323	20	Mirror	Mirror	1141	1	1.14
324	160	Same--	Mirror	1125	0	1.12
325	160	Same--	Same--	1828	1	1.83
326	120	Mirror	Mirror	1328	1	1.33
327	160	Mirror	Mirror	1328	1	1.33
328	140	Mirror	Mirror	0922	1	0.92
329	180	Mirror	Mirror	1031	1	1.03
330	60	Mirror	Mirror	1828	1	1.83
331	80	Mirror	Mirror	1032	1	1.03
332	60	Same--	Same--	1531	1	1.53
333	100	Same--	Same--	1219	1	1.22
334	20	Mirror	Mirror	0922	1	0.92
335	100	Same--	Same--	2438	1	2.44
336	60	Same--	Same--	2031	1	2.03
337	140	Mirror	Mirror	1234	1	1.23
338	80	Mirror	Mirror	1016	1	1.02
339	60	Same--	Same--	1125	1	1.12
340	100	Mirror	Mirror	0921	1	0.92
341	140	Same--	Same--	1532	1	1.53
342	120	Same--	Same--	1328	1	1.33
343	80	Same--	Mirror	1531	0	1.53
344	100	Mirror	Same--	1625	0	1.62
345	100	Mirror	Mirror	2141	1	2.14
346	0	Same--	Same--	1031	1	1.03
347	0	Mirror	Mirror	1531	1	1.53
348	120	Mirror	Mirror	1219	1	1.22
349	80	Same--	Same--	1641	1	1.64
350	160	Same--	Mirror	1328	0	1.33
351	0	Mirror	Mirror	1218	1	1.22
352	120	Mirror	Mirror	1438	1	1.44
353	140	Mirror	Mirror	1219	1	1.22
354	120	Same--	Mirror	1031	0	1.03
355	60	Same--	Same--	1031	1	1.03
356	140	Same--	Same--	1328	1	1.33
357	0	Mirror	Mirror	1828	1	1.83
358	140	Same--	Same--	1735	1	1.74
359	140	Same--	Mirror	1844	0	1.84
360	20	Same--	Same--	1125	1	1.12
361	20	Mirror	Mirror	1328	1	1.33
362	100	Mirror	Mirror	1125	1	1.12
363	80	Mirror	Mirror	1828	1	1.83
364	60	Mirror	Mirror	1031	1	1.03
365	40	Mirror	Mirror	1125	1	1.12
366	20	Same--	Same--	1125	1	1.12
367	60	Mirror	Mirror	0828	1	0.83
368	160	Same--	Same--	1531	1	1.53
369	160	Same--	Same--	2235	1	2.23
370	100	Same--	Same--	2140	1	2.14
371	160	Same--	Same--	1938	1	1.94
372	40	Same--	Same--	1219	1	1.22
373	20	Mirror	Mirror	1125	1	1.12
374	160	Mirror	Mirror	1125	1	1.12
375	60	Mirror	Mirror	0937	1	0.94
376	60	Mirror	Mirror	1016	1	1.02
377	0	Same--	Same--	0828	1	0.83
378	160	Mirror	Mirror	1625	1	1.62
379	80	Same--	Same--	1234	1	1.23
380	120	Same--	Same--	1219	1	1.22
381	0	Same--	Same--	1031	1	1.03
382	140	Same--	Same--	1641	1	1.64
383	80	Same--	Same--	1531	1	1.53
384	160	Mirror	Mirror	0922	1	0.92
385	0	Mirror	Mirror	1625	1	1.62
386	40	Mirror	Mirror	1531	1	1.53
387	40	Mirror	Mirror	1235	1	1.24
388	160	Mirror	Mirror	1937	1	1.94
389	40	Mirror	Mirror	1328	1	1.33
390	140	Same--	Same--	1938	1	1.94
391	80	Same--	Same--	1328	1	1.33
392	40	Mirror	Mirror	1937	1	1.94
393	40	Same--	Same--	0922	1	0.92
394	160	Mirror	Mirror	1532	1	1.53
395	80	Mirror	Mirror	1218	1	1.22
396	40	Mirror	Mirror	1032	1	1.03
397	160	Mirror	Mirror	1015	1	1.01
398	80	Mirror	Mirror	0922	1	0.92
399	80	Mirror	Mirror	1015	1	1.01
400	160	Mirror	Mirror	1235	1	1.24
401	180	Same--	Same--	2922	1	2.92
402	160	Mirror	Mirror	1422	1	1.42
403	180	Mirror	Mirror	2047	1	2.05
404	140	Mirror	Mirror	1219	1	1.22
405	80	Same--	Same--	1531	1	1.53
406	40	Same--	Same--	1234	1	1.23
407	60	Mirror	Mirror	1532	1	1.53
408	140	Mirror	Mirror	1328	1	1.33
409	60	Same--	Same--	1625	1	1.62
410	100	Mirror	Mirror	1125	1	1.12
411	160	Mirror	Mirror	1125	1	1.12
412	80	Same--	Same--	1125	1	1.12
413	60	Same--	Mirror	1437	0	1.44
414	100	Same--	Same--	1735	1	1.74
415	140	Mirror	Mirror	2437	1	2.44
416	100	Same--	Same--	1328	1	1.33
417	100	Mirror	Mirror	1735	1	1.74
418	160	Mirror	Mirror	0921	1	0.92
419	80	Same--	Same--	1329	1	1.33
420	60	Mirror	Mirror	1640	1	1.64
421	20	Same--	Same--	0922	1	0.92
422	60	Mirror	Mirror	1031	1	1.03
423	0	Mirror	Mirror	2125	1	2.12
424	180	Mirror	Mirror	1516	1	1.52
425	180	Same--	Same--	2438	1	2.44
426	20	Same--	Same--	0922	1	0.92
427	140	Mirror	Mirror	0921	1	0.92
428	180	Mirror	Mirror	1532	1	1.53
429	80	Same--	Same--	2140	1	2.14
430	40	Same--	Mirror	0922	0	0.92
431	60	Mirror	Mirror	1641	1	1.64
432	120	Mirror	Mirror	1015	1	1.01
433	20	Mirror	Mirror	1329	1	1.33
434	40	Mirror	Mirror	1031	1	1.03
435	100	Mirror	Mirror	0922	1	0.92
436	20	Same--	Same--	0812	1	0.81
437	20	Same--	Same--	0828	1	0.83
438	60	Mirror	Mirror	1532	1	1.53
439	120	Same--	Same--	1125	1	1.12
440	160	Same--	Same--	1640	1	1.64
441	80	Same--	Same--	1328	1	1.33
442	100	Same--	Same--	1625	1	1.62
443	20	Same--	Same--	0922	1	0.92
444	60	Same--	Same--	1438	1	1.44
445	120	Same--	Same--	2031	1	2.03
446	160	Same--	Mirror	0937	0	0.94
447	160	Same--	Mirror	1516	0	1.52
448	80	Mirror	Mirror	1734	1	1.73
449	80	Same--	Same--	0829	1	0.83
450	180	Same--	Same--	2140	1	2.14
451	100	Mirror	Mirror	1625	1	1.62
452	0	Mirror	Mirror	1735	1	1.74
453	180	Same--	Same--	1937	1	1.94
454	120	Same--	Mirror	1641	0	1.64
455	140	Same--	Same--	2843	1	2.84
456	80	Same--	Same--	0922	1	0.92
457	20	Mirror	Mirror	1438	1	1.44
458	180	Mirror	Mirror	2125	1	2.12
459	40	Same--	Same--	1016	1	1.02
460	80	Mirror	Mirror	1328	1	1.33
461	60	Mirror	Mirror	1531	1	1.53
462	0	Same--	Same--	0829	1	0.83
463	80	Same--	Same--	0921	1	0.92
464	20	Same--	Same--	0719	1	0.72
465	80	Mirror	Mirror	1735	1	1.74
466	40	Same--	Mirror	1531	0	1.53
467	120	Same--	Same--	1734	1	1.73
468	20	Mirror	Mirror	1828	1	1.83
469	100	Same--	Same--	1438	1	1.44
470	120	Same--	Same--	1625	1	1.62
471	20	Mirror	Mirror	1734	1	1.73
472	0	Same--	Same--	1125	1	1.12
473	180	Same--	Same--	2031	1	2.03
474	120	Mirror	Mirror	0922	1	0.92
475	60	Mirror	Mirror	1328	1	1.33
476	0	Same--	Same--	0922	1	0.92
477	160	Same--	Mirror	1531	0	1.53
478	160	Mirror	Mirror	1641	1	1.64
479	0	Mirror	Mirror	1219	1	1.22
480	40	Same--	Same--	1328	1	1.33
481	60	Mirror	Mirror	1328	1	1.33
482	40	Same--	Same--	0922	1	0.92
483	100	Mirror	Mirror	1531	1	1.53
484	40	Same--	Same--	0734	1	0.73
485	80	Mirror	Mirror	1422	1	1.42
486	0	Same--	Same--	0828	1	0.83
487	100	Mirror	Mirror	1422	1	1.42
488	180	Same--	Same--	2141	1	2.14
489	80	Mirror	Mirror	1234	1	1.23
490	100	Mirror	Mirror	1219	1	1.22
491	80	Same--	Same--	0828	1	0.83
492	80	Mirror	Mirror	1016	1	1.02
493	140	Same--	Same--	1734	1	1.73
494	80	Mirror	Mirror	1844	1	1.84
495	60	Mirror	Mirror	1937	1	1.94
496	80	Same--	Same--	1219	1	1.22
497	20	Mirror	Mirror	1234	1	1.23
498	140	Mirror	Mirror	1016	1	1.02
499	140	Mirror	Mirror	1141	1	1.14
500	0	Mirror	Mirror	1015	1	1.01
501	0	Mirror	Mirror	1532	1	1.53
502	60	Same--	Mirror	0718	0	0.72
503	180	Same--	Same--	1125	1	1.12
504	160	Mirror	Mirror	1328	1	1.33
505	160	Same--	Same--	1328	1	1.33
506	100	Mirror	Mirror	1328	1	1.33
507	60	Same--	Same--	1828	1	1.83
508	60	Mirror	Mirror	1235	1	1.24
509	20	Same--	Same--	0812	1	0.81
510	80	Mirror	Mirror	0828	1	0.83
511	40	Mirror	Mirror	1125	1	1.12
512	0	Mirror	Mirror	0814	1	0.81
513	60	Same--	Same--	1125	1	1.12
514	160	Same--	Same--	2328	1	2.33
515	100	Mirror	Mirror	1031	1	1.03
516	160	Mirror	Mirror	1734	1	1.73
517	120	Mirror	Mirror	3750	1	3.75
518	160	Same--	Mirror	1344	0	1.34
519	140	Same--	Same--	1625	1	1.62
520	160	Same--	Same--	1125	1	1.12
521	120	Same--	Same--	2047	1	2.05
522	80	Mirror	Mirror	1531	1	1.53
523	140	Mirror	Mirror	1219	1	1.22
524	160	Mirror	Mirror	1125	1	1.12
525	140	Same--	Same--	1531	1	1.53
526	0	Mirror	Mirror	1641	1	1.64
527	80	Mirror	Mirror	2031	1	2.03
528	120	Same--	Same--	1438	1	1.44
529	100	Same--	Same--	1015	1	1.01
530	0	Same--	Same--	0828	1	0.83
531	180	Same--	Same--	1532	1	1.53
532	0	Same--	Same--	0812	1	0.81
533	120	Mirror	Mirror	1328	1	1.33
534	60	Same--	Same--	1125	1	1.12
535	160	Mirror	Mirror	1328	1	1.33
536	160	Same--	Same--	1625	1	1.62
537	0	Same--	Same--	0922	1	0.92
538	140	Mirror	Mirror	0922	1	0.92
539	40	Mirror	Mirror	1437	1	1.44
540	60	Same--	Same--	1125	1	1.12
541	120	Same--	Mirror	0922	0	0.92
542	140	Mirror	Mirror	1031	1	1.03
543	20	Mirror	Mirror	1125	1	1.12
544	20	Mirror	Mirror	1016	1	1.02
545	180	Mirror	Mirror	0922	1	0.92
546	160	Same--	Same--	1547	1	1.55
547	140	Mirror	Mirror	1828	1	1.83
548	120	Same--	Same--	1328	1	1.33
549	60	Same--	Same--	0719	1	0.72
550	60	Same--	Same--	1031	1	1.03
551	160	Mirror	Mirror	1016	1	1.02
552	40	Mirror	Mirror	1125	1	1.12
553	140	Same--	Same--	1734	1	1.73
554	120	Same--	Mirror	2750	0	2.75
555	120	Mirror	Same--	1734	0	1.73
556	120	Mirror	Mirror	1328	1	1.33
557	120	Mirror	Mirror	1235	1	1.24
558	180	Same--	Same--	1828	1	1.83
559	180	Same--	Same--	2437	1	2.44
560	160	Same--	Same--	1532	1	1.53
561	40	Mirror	Mirror	1531	1	1.53
562	140	Same--	Same--	1828	1	1.83
563	180	Mirror	Mirror	1640	1	1.64
564	40	Same--	Same--	0813	1	0.81
565	180	Mirror	Mirror	0922	1	0.92
566	40	Mirror	Mirror	1031	1	1.03
567	180	Mirror	Mirror	1016	1	1.02
568	0	Same--	Same--	0828	1	0.83
569	180	Mirror	Mirror	1328	1	1.33
570	100	Same--	Same--	1234	1	1.23
571	0	Mirror	Mirror	1531	1	1.53
572	100	Same--	Same--	1625	1	1.62
573	120	Mirror	Mirror	1032	1	1.03
574	100	Mirror	Mirror	1422	1	1.42
575	120	Mirror	Mirror	1031	1	1.03
576	140	Same--	Mirror	1422	0	1.42
577	180	Mirror	Mirror	1125	1	1.12
578	0	Same--	Same--	0828	1	0.83
579	120	Mirror	Mirror	2140	1	2.14
580	140	Same--	Same--	1219	1	1.22
581	140	Same--	Same--	1922	1	1.92
582	40	Same--	Same--	1031	1	1.03
583	20	Same--	Same--	0719	1	0.72
584	100	Same--	Same--	1125	1	1.12
585	20	Same--	Same--	0922	1	0.92
586	40	Same--	Same--	0718	1	0.72
587	140	Same--	Mirror	1016	0	1.02
588	20	Same--	Mirror	1031	0	1.03
589	0	Same--	Same--	0922	1	0.92
590	100	Same--	Same--	0922	1	0.92
591	100	Same--	Same--	1015	1	1.01
592	20	Mirror	Same--	1328	0	1.33
593	40	Mirror	Mirror	1531	1	1.53
594	40	Mirror	Mirror	1328	1	1.33
595	20	Mirror	Mirror	1422	1	1.42
596	0	Mirror	Mirror	1031	1	1.03
597	40	Mirror	Mirror	1219	1	1.22
598	0	Mirror	Mirror	1125	1	1.12
599	20	Mirror	Mirror	0828	1	0.83
600	40	Mirror	Mirror	1125	1	1.12
